 good                                                                             ,  part                                                                             ,  quantity
"TENGU ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                , "QUANTUM PHYSICS"                                                                 ,        "3"
"TENGU ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                        , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"TENGU ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                        , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"TENGU ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                        , "QUANTUM PHYSICS"                                                                 ,        "3"
"TENGU ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"TENGU ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"TENGU ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                , "QUANTUM PHYSICS"                                                                 ,        "3"
"TENGU ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"TENGU OFFENSIVE - ACCELERATED EJECTION BAY BLUEPRINT COPY"                       , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"TENGU OFFENSIVE - ACCELERATED EJECTION BAY BLUEPRINT COPY"                       , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"TENGU OFFENSIVE - ACCELERATED EJECTION BAY BLUEPRINT COPY"                       , "PLASMA PHYSICS"                                                                  ,        "3"
"TENGU OFFENSIVE - ACCELERATED EJECTION BAY BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                         , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"TENGU OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                         , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"TENGU OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                         , "PLASMA PHYSICS"                                                                  ,        "3"
"TENGU OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU OFFENSIVE - MAGNETIC INFUSION BASIN BLUEPRINT COPY"                        , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"TENGU OFFENSIVE - MAGNETIC INFUSION BASIN BLUEPRINT COPY"                        , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"TENGU OFFENSIVE - MAGNETIC INFUSION BASIN BLUEPRINT COPY"                        , "PLASMA PHYSICS"                                                                  ,        "3"
"TENGU OFFENSIVE - MAGNETIC INFUSION BASIN BLUEPRINT COPY"                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU OFFENSIVE - RIFLING LAUNCHER PATTERN BLUEPRINT COPY"                       , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"TENGU OFFENSIVE - RIFLING LAUNCHER PATTERN BLUEPRINT COPY"                       , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"TENGU OFFENSIVE - RIFLING LAUNCHER PATTERN BLUEPRINT COPY"                       , "PLASMA PHYSICS"                                                                  ,        "3"
"TENGU OFFENSIVE - RIFLING LAUNCHER PATTERN BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"TENGU PROPULSION - FUEL CATALYST BLUEPRINT COPY"                                 , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"TENGU PROPULSION - FUEL CATALYST BLUEPRINT COPY"                                 , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"TENGU PROPULSION - FUEL CATALYST BLUEPRINT COPY"                                 , "ROCKET SCIENCE"                                                                  ,        "3"
"TENGU PROPULSION - FUEL CATALYST BLUEPRINT COPY"                                 , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                       , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"TENGU PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                       , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"TENGU PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                       , "ROCKET SCIENCE"                                                                  ,        "3"
"TENGU PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU PROPULSION - INTERCALATED NANOFIBERS BLUEPRINT COPY"                       , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"TENGU PROPULSION - INTERCALATED NANOFIBERS BLUEPRINT COPY"                       , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"TENGU PROPULSION - INTERCALATED NANOFIBERS BLUEPRINT COPY"                       , "ROCKET SCIENCE"                                                                  ,        "3"
"TENGU PROPULSION - INTERCALATED NANOFIBERS BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"TENGU PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                        , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"TENGU PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                        , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"TENGU PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                        , "ROCKET SCIENCE"                                                                  ,        "3"
"TENGU PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"PROTEUS DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                           , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"PROTEUS DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                           , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                           , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"PROTEUS DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                           , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS DEFENSIVE - AUGMENTED PLATING BLUEPRINT COPY"                            , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"PROTEUS DEFENSIVE - AUGMENTED PLATING BLUEPRINT COPY"                            , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS DEFENSIVE - AUGMENTED PLATING BLUEPRINT COPY"                            , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"PROTEUS DEFENSIVE - AUGMENTED PLATING BLUEPRINT COPY"                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS DEFENSIVE - NANOBOT INJECTOR BLUEPRINT COPY"                             , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"PROTEUS DEFENSIVE - NANOBOT INJECTOR BLUEPRINT COPY"                             , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS DEFENSIVE - NANOBOT INJECTOR BLUEPRINT COPY"                             , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"PROTEUS DEFENSIVE - NANOBOT INJECTOR BLUEPRINT COPY"                             , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                            , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"PROTEUS DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                            , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                            , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"PROTEUS DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"PROTEUS ELECTRONICS - CPU EFFICIENCY GATE BLUEPRINT COPY"                        , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"PROTEUS ELECTRONICS - CPU EFFICIENCY GATE BLUEPRINT COPY"                        , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS ELECTRONICS - CPU EFFICIENCY GATE BLUEPRINT COPY"                        , "ELECTRONIC ENGINEERING"                                                          ,        "3"
"PROTEUS ELECTRONICS - CPU EFFICIENCY GATE BLUEPRINT COPY"                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                      , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"PROTEUS ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                      , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                      , "ELECTRONIC ENGINEERING"                                                          ,        "3"
"PROTEUS ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                      , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                    , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"PROTEUS ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                    , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                    , "ELECTRONIC ENGINEERING"                                                          ,        "3"
"PROTEUS ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                    , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ELECTRONICS - FRICTION EXTENSION PROCESSOR BLUEPRINT COPY"               , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"PROTEUS ELECTRONICS - FRICTION EXTENSION PROCESSOR BLUEPRINT COPY"               , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS ELECTRONICS - FRICTION EXTENSION PROCESSOR BLUEPRINT COPY"               , "ELECTRONIC ENGINEERING"                                                          ,        "3"
"PROTEUS ELECTRONICS - FRICTION EXTENSION PROCESSOR BLUEPRINT COPY"               , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"PROTEUS ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"              , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"PROTEUS ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"              , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"PROTEUS ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"              , "QUANTUM PHYSICS"                                                                 ,        "3"
"PROTEUS ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"              , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"PROTEUS ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"              , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"PROTEUS ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"              , "QUANTUM PHYSICS"                                                                 ,        "3"
"PROTEUS ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                      , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"PROTEUS ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                      , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"PROTEUS ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                      , "QUANTUM PHYSICS"                                                                 ,        "3"
"PROTEUS ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                      , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"              , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"PROTEUS ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"              , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"PROTEUS ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"              , "QUANTUM PHYSICS"                                                                 ,        "3"
"PROTEUS ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"              , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"PROTEUS OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                       , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"PROTEUS OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                       , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                       , "PLASMA PHYSICS"                                                                  ,        "3"
"PROTEUS OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS OFFENSIVE - DISSONIC ENCODING PLATFORM BLUEPRINT COPY"                   , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"PROTEUS OFFENSIVE - DISSONIC ENCODING PLATFORM BLUEPRINT COPY"                   , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS OFFENSIVE - DISSONIC ENCODING PLATFORM BLUEPRINT COPY"                   , "PLASMA PHYSICS"                                                                  ,        "3"
"PROTEUS OFFENSIVE - DISSONIC ENCODING PLATFORM BLUEPRINT COPY"                   , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS OFFENSIVE - DRONE SYNTHESIS PROJECTOR BLUEPRINT COPY"                    , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"PROTEUS OFFENSIVE - DRONE SYNTHESIS PROJECTOR BLUEPRINT COPY"                    , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS OFFENSIVE - DRONE SYNTHESIS PROJECTOR BLUEPRINT COPY"                    , "PLASMA PHYSICS"                                                                  ,        "3"
"PROTEUS OFFENSIVE - DRONE SYNTHESIS PROJECTOR BLUEPRINT COPY"                    , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS OFFENSIVE - HYBRID PROPULSION ARMATURE BLUEPRINT COPY"                   , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"PROTEUS OFFENSIVE - HYBRID PROPULSION ARMATURE BLUEPRINT COPY"                   , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"PROTEUS OFFENSIVE - HYBRID PROPULSION ARMATURE BLUEPRINT COPY"                   , "PLASMA PHYSICS"                                                                  ,        "3"
"PROTEUS OFFENSIVE - HYBRID PROPULSION ARMATURE BLUEPRINT COPY"                   , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"PROTEUS PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                     , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"PROTEUS PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                     , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                     , "ROCKET SCIENCE"                                                                  ,        "3"
"PROTEUS PROPULSION - GRAVITATIONAL CAPACITOR BLUEPRINT COPY"                     , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                      , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"PROTEUS PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                      , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                      , "ROCKET SCIENCE"                                                                  ,        "3"
"PROTEUS PROPULSION - INTERDICTION NULLIFIER BLUEPRINT COPY"                      , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS PROPULSION - LOCALIZED INJECTORS BLUEPRINT COPY"                         , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"PROTEUS PROPULSION - LOCALIZED INJECTORS BLUEPRINT COPY"                         , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS PROPULSION - LOCALIZED INJECTORS BLUEPRINT COPY"                         , "ROCKET SCIENCE"                                                                  ,        "3"
"PROTEUS PROPULSION - LOCALIZED INJECTORS BLUEPRINT COPY"                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"PROTEUS PROPULSION - WAKE LIMITER BLUEPRINT COPY"                                , "MALFUNCTIONING THRUSTER SECTIONS"                                                ,        "1"
"PROTEUS PROPULSION - WAKE LIMITER BLUEPRINT COPY"                                , "PROPULSION SUBSYSTEMS ENGINEERING"                                               ,        "3"
"PROTEUS PROPULSION - WAKE LIMITER BLUEPRINT COPY"                                , "ROCKET SCIENCE"                                                                  ,        "3"
"PROTEUS PROPULSION - WAKE LIMITER BLUEPRINT COPY"                                , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"LOKI DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                              , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"LOKI DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                              , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                              , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"LOKI DEFENSIVE - ADAPTIVE AUGMENTER BLUEPRINT COPY"                              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI DEFENSIVE - ADAPTIVE SHIELDING BLUEPRINT COPY"                              , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"LOKI DEFENSIVE - ADAPTIVE SHIELDING BLUEPRINT COPY"                              , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI DEFENSIVE - ADAPTIVE SHIELDING BLUEPRINT COPY"                              , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"LOKI DEFENSIVE - ADAPTIVE SHIELDING BLUEPRINT COPY"                              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI DEFENSIVE - AMPLIFICATION NODE BLUEPRINT COPY"                              , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"LOKI DEFENSIVE - AMPLIFICATION NODE BLUEPRINT COPY"                              , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI DEFENSIVE - AMPLIFICATION NODE BLUEPRINT COPY"                              , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"LOKI DEFENSIVE - AMPLIFICATION NODE BLUEPRINT COPY"                              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                               , "MALFUNCTIONING ARMOR NANOBOT"                                                    ,        "1"
"LOKI DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                               , "DEFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                               , "HYDROMAGNETIC PHYSICS"                                                           ,        "3"
"LOKI DEFENSIVE - WARFARE PROCESSOR BLUEPRINT COPY"                               , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"LOKI ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                         , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"LOKI ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                         , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "1"
"LOKI ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                         , "ELECTRONIC ENGINEERING"                                                          ,        "1"
"LOKI ELECTRONICS - DISSOLUTION SEQUENCER BLUEPRINT COPY"                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                       , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"LOKI ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                       , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "1"
"LOKI ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                       , "ELECTRONIC ENGINEERING"                                                          ,        "1"
"LOKI ELECTRONICS - EMERGENT LOCUS ANALYZER BLUEPRINT COPY"                       , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ELECTRONICS - IMMOBILITY DRIVERS BLUEPRINT COPY"                            , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"LOKI ELECTRONICS - IMMOBILITY DRIVERS BLUEPRINT COPY"                            , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "1"
"LOKI ELECTRONICS - IMMOBILITY DRIVERS BLUEPRINT COPY"                            , "ELECTRONIC ENGINEERING"                                                          ,        "1"
"LOKI ELECTRONICS - IMMOBILITY DRIVERS BLUEPRINT COPY"                            , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ELECTRONICS - TACTICAL TARGETING NETWORK BLUEPRINT COPY"                    , "MALFUNCTIONING ELECTROMECHANICAL COMPONENT"                                      ,        "1"
"LOKI ELECTRONICS - TACTICAL TARGETING NETWORK BLUEPRINT COPY"                    , "ELECTRONIC SUBSYSTEMS ENGINEERING"                                               ,        "1"
"LOKI ELECTRONICS - TACTICAL TARGETING NETWORK BLUEPRINT COPY"                    , "ELECTRONIC ENGINEERING"                                                          ,        "1"
"LOKI ELECTRONICS - TACTICAL TARGETING NETWORK BLUEPRINT COPY"                    , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"LOKI ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"                 , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"LOKI ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"                 , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"LOKI ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"                 , "QUANTUM PHYSICS"                                                                 ,        "3"
"LOKI ENGINEERING - AUGMENTED CAPACITOR RESERVOIR BLUEPRINT COPY"                 , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                 , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"LOKI ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                 , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"LOKI ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                 , "QUANTUM PHYSICS"                                                                 ,        "3"
"LOKI ENGINEERING - CAPACITOR REGENERATION MATRIX BLUEPRINT COPY"                 , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                         , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"LOKI ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                         , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"LOKI ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                         , "QUANTUM PHYSICS"                                                                 ,        "3"
"LOKI ENGINEERING - POWER CORE MULTIPLIER BLUEPRINT COPY"                         , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                 , "MALFUNCTIONING POWER CORES"                                                      ,        "1"
"LOKI ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                 , "ENGINEERING SUBSYSTEMS ENGINEERING"                                              ,        "3"
"LOKI ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                 , "QUANTUM PHYSICS"                                                                 ,        "3"
"LOKI ENGINEERING - SUPPLEMENTAL COOLANT INJECTOR BLUEPRINT COPY"                 , "ACCELERANT DECRYPTOR"                                                            ,        "1"

"LOKI OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                          , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"LOKI OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                          , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                          , "PLASMA PHYSICS"                                                                  ,        "3"
"LOKI OFFENSIVE - COVERT RECONFIGURATION BLUEPRINT COPY"                          , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI OFFENSIVE - HARDPOINT EFFICIENCY CONFIGURATION BLUEPRINT COPY"              , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"LOKI OFFENSIVE - HARDPOINT EFFICIENCY CONFIGURATION BLUEPRINT COPY"              , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI OFFENSIVE - HARDPOINT EFFICIENCY CONFIGURATION BLUEPRINT COPY"              , "PLASMA PHYSICS"                                                                  ,        "3"
"LOKI OFFENSIVE - HARDPOINT EFFICIENCY CONFIGURATION BLUEPRINT COPY"              , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI OFFENSIVE - PROJECTILE SCOPING ARRAY BLUEPRINT COPY"                        , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
"LOKI OFFENSIVE - PROJECTILE SCOPING ARRAY BLUEPRINT COPY"                        , "OFFENSIVE SUBSYSTEMS ENGINEERING"                                                ,        "3"
"LOKI OFFENSIVE - PROJECTILE SCOPING ARRAY BLUEPRINT COPY"                        , "PLASMA PHYSICS"                                                                  ,        "3"
"LOKI OFFENSIVE - PROJECTILE SCOPING ARRAY BLUEPRINT COPY"                        , "ACCELERANT DECRYPTOR"                                                            ,        "1"
"LOKI OFFENSIVE - TURRET CONCURRENCE REGISTRY BLUEPRINT COPY"                     , "MALFUNCTIONING WEAPON SUBROUTINES"                                               ,        "1"
